dataset,model,MAPE_mean,MAPE_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std
batlik/corona,LinearRegression,12.1224,0.3911,0.1808,0.0054,0.2615,0.0094
batlik/corona,RandomForest,3.7039,0.1177,0.0542,0.0019,0.0739,0.0038
batlik/cranium,LinearRegression,3.3415,0.107,0.0697,0.0022,0.0974,0.0032
batlik/cranium,RandomForest,2.0949,0.0616,0.0413,0.0012,0.0541,0.0017
batlik/cubus,LinearRegression,3.94,0.0994,0.2431,0.0066,0.3332,0.0096
batlik/cubus,RandomForest,2.0571,0.0644,0.126,0.0041,0.1629,0.0057
batlik/flame,LinearRegression,3.2112,0.0867,0.058,0.0017,0.0771,0.0021
batlik/flame,RandomForest,2.191,0.066,0.0391,0.0012,0.0498,0.0017
batlik/france,LinearRegression,3.9715,0.0837,0.1462,0.0034,0.1925,0.0044
batlik/france,RandomForest,2.3883,0.071,0.0828,0.0025,0.1063,0.0035
batlik/frisco,LinearRegression,5.0996,0.1499,0.2473,0.0077,0.3323,0.0126
batlik/frisco,RandomForest,3.2524,0.1121,0.1501,0.005,0.1913,0.0065
batlik/jelly,LinearRegression,17.0293,0.5192,0.3246,0.007,0.4448,0.0188
batlik/jelly,RandomForest,2.6996,0.127,0.05,0.0037,0.081,0.0096
batlik/karte,LinearRegression,15.0507,0.2813,1.4907,0.0218,1.864,0.0395
batlik/karte,RandomForest,3.4831,0.192,0.3816,0.0174,0.4801,0.0202
batlik/mandelbrot,LinearRegression,4.6435,0.127,0.0615,0.0018,0.0843,0.0024
batlik/mandelbrot,RandomForest,2.1361,0.0749,0.0276,0.001,0.0361,0.0014
batlik/strawberry,LinearRegression,5.4608,0.1528,0.094,0.0029,0.131,0.005
batlik/strawberry,RandomForest,2.4615,0.0768,0.0394,0.0014,0.0506,0.0019
batlik/village,LinearRegression,56.7658,2.4027,1.7999,0.0404,2.471,0.1082
batlik/village,RandomForest,4.2186,0.3318,0.1618,0.0175,0.3747,0.0706
dconvert/jpeg-large,LinearRegression,13.5674,0.2689,0.4179,0.0068,0.5617,0.0107
dconvert/jpeg-large,RandomForest,2.9547,0.0561,0.0998,0.0024,0.1455,0.0041
dconvert/jpeg-medium,LinearRegression,10.2683,0.194,0.1779,0.003,0.2397,0.0048
dconvert/jpeg-medium,RandomForest,2.3999,0.0366,0.0427,0.0008,0.0595,0.0015
dconvert/jpeg-small,LinearRegression,3.4835,0.0549,0.0149,0.0002,0.019,0.0004
dconvert/jpeg-small,RandomForest,3.3989,0.0502,0.0146,0.0002,0.0189,0.0003
dconvert/png-large,LinearRegression,9.2979,0.1224,0.219,0.0025,0.2789,0.0048
dconvert/png-large,RandomForest,2.61,0.041,0.0636,0.0011,0.0853,0.0015
dconvert/png-medium,LinearRegression,3.5448,0.0426,0.023,0.0003,0.029,0.0004
dconvert/png-medium,RandomForest,2.7495,0.0438,0.0174,0.0003,0.0221,0.0003
dconvert/png-small,LinearRegression,3.3022,0.0325,0.0148,0.0002,0.0196,0.0004
dconvert/png-small,RandomForest,3.4826,0.0473,0.0156,0.0002,0.0207,0.0004
dconvert/psd-large,LinearRegression,1.4334,0.0182,0.5371,0.0084,0.876,0.0227
dconvert/psd-large,RandomForest,1.5901,0.0353,0.5946,0.0166,1.0107,0.0263
dconvert/psd-medium,LinearRegression,5.1927,0.0667,0.0674,0.0009,0.0892,0.0017
dconvert/psd-medium,RandomForest,2.5565,0.0326,0.033,0.0004,0.0425,0.0006
dconvert/psd-small,LinearRegression,3.5612,0.0492,0.0199,0.0003,0.0248,0.0004
dconvert/psd-small,RandomForest,3.7572,0.0553,0.021,0.0003,0.0266,0.0004
dconvert/svg-large,LinearRegression,2.0512,0.0281,0.0309,0.0005,0.0397,0.0008
dconvert/svg-large,RandomForest,2.3475,0.0365,0.0354,0.0006,0.0455,0.0007
dconvert/svg-medium,LinearRegression,1.7221,0.0204,0.0265,0.0003,0.0332,0.0004
dconvert/svg-medium,RandomForest,1.9296,0.0267,0.0297,0.0004,0.0374,0.0004
dconvert/svg-small,LinearRegression,3.5828,0.0464,0.0202,0.0003,0.0253,0.0003
dconvert/svg-small,RandomForest,2.5756,0.0314,0.0144,0.0002,0.0182,0.0002
h2/smallbank-1,LinearRegression,5.6504,0.1178,1111.0282,23.8991,1337.8202,25.8903
h2/smallbank-1,RandomForest,3.7777,0.0983,723.5204,18.1288,925.1302,24.1648
h2/smallbank-10,LinearRegression,4.5462,0.091,620.9954,14.0077,750.7078,18.2805
h2/smallbank-10,RandomForest,2.2137,0.0691,299.1277,8.9772,401.4366,14.8823
h2/tpcc-2,LinearRegression,4.1638,0.083,30.4466,0.6489,37.6331,0.8466
h2/tpcc-2,RandomForest,2.8203,0.0618,20.5944,0.4317,25.7271,0.5589
h2/tpcc-8,LinearRegression,20.778,1.3121,109.1192,4.5501,164.6065,5.1357
h2/tpcc-8,RandomForest,20.75,1.3918,109.0409,5.2134,172.6812,6.4143
h2/voter-16,LinearRegression,7.531,0.1175,2386.7069,37.4462,2649.1347,42.3517
h2/voter-16,RandomForest,1.9903,0.0834,651.1237,29.9242,886.5949,44.9319
h2/voter-2,LinearRegression,7.9261,0.1235,2500.8211,41.236,2767.4637,46.6522
h2/voter-2,RandomForest,1.9807,0.0659,642.7277,22.1149,885.3361,42.5905
h2/ycsb-2400,LinearRegression,9.0309,0.1859,1270.7857,27.7417,1564.7754,42.2611
h2/ycsb-2400,RandomForest,4.1549,0.0829,580.7393,14.0149,748.7375,24.8033
h2/ycsb-600,LinearRegression,8.3941,0.2008,1680.6888,31.3625,2076.4046,43.7916
h2/ycsb-600,RandomForest,3.7542,0.1276,758.0664,25.0075,1007.6208,35.7094
jump3r/beethoven.wav,LinearRegression,25.6195,0.5883,2.253,0.0409,2.898,0.0564
jump3r/beethoven.wav,RandomForest,16.6255,0.3453,1.6518,0.0387,2.4009,0.0533
jump3r/dual-channel.wav,LinearRegression,23.3916,0.5969,0.6166,0.0131,0.854,0.0199
jump3r/dual-channel.wav,RandomForest,15.73,0.3688,0.456,0.0114,0.6691,0.018
jump3r/helix.wav,LinearRegression,25.418,0.7332,1.0994,0.0254,1.5572,0.0815
jump3r/helix.wav,RandomForest,16.4548,0.3988,0.8485,0.0211,1.3421,0.086
jump3r/single-channel.wav,LinearRegression,18.8876,0.4392,0.3242,0.0063,0.4272,0.0081
jump3r/single-channel.wav,RandomForest,14.2958,0.2522,0.2611,0.0058,0.3662,0.0087
jump3r/speech.wav,LinearRegression,19.8016,0.4602,0.8103,0.0139,1.0215,0.0195
jump3r/speech.wav,RandomForest,14.4015,0.3495,0.6415,0.0164,0.8935,0.0246
jump3r/sweep.wav,LinearRegression,11.9416,0.2208,0.0696,0.0012,0.0883,0.0016
jump3r/sweep.wav,RandomForest,9.2547,0.1842,0.0561,0.0013,0.0785,0.0019
kanzi/ambivert,LinearRegression,150.8018,5.9531,17.2237,0.4465,27.609,0.7963
kanzi/ambivert,RandomForest,38.8683,2.0685,4.3982,0.1838,7.7825,0.6215
kanzi/artificl,LinearRegression,48.0395,1.2445,0.199,0.0041,0.2918,0.0078
kanzi/artificl,RandomForest,9.502,0.3331,0.0413,0.0018,0.0755,0.0052
kanzi/deepfield,LinearRegression,1787.6893,135.1911,19.0548,0.3919,28.9574,0.8026
kanzi/deepfield,RandomForest,278.3515,34.7724,3.9974,0.2025,7.6915,0.7388
kanzi/enwik8,LinearRegression,276.1358,11.4236,39.7656,0.8793,62.0325,1.8267
kanzi/enwik8,RandomForest,41.1847,2.678,6.7848,0.416,13.9234,1.6109
kanzi/fannie_mae_500k,LinearRegression,429.1026,17.8824,34.8655,0.7391,53.4976,1.5185
kanzi/fannie_mae_500k,RandomForest,48.4737,3.1908,5.1299,0.3676,11.1498,1.2633
kanzi/large,LinearRegression,147.3481,4.9577,4.4044,0.0969,6.8478,0.2015
kanzi/large,RandomForest,21.1799,1.1538,0.7122,0.0389,1.5013,0.1633
kanzi/misc,LinearRegression,47.658,1.3226,0.407,0.0086,0.6101,0.016
kanzi/misc,RandomForest,10.4786,0.4393,0.0863,0.0033,0.1541,0.0127
kanzi/silesia,LinearRegression,309.1722,13.0629,82.7697,1.8144,128.8501,3.6688
kanzi/silesia,RandomForest,42.6422,2.5069,13.5267,0.7877,27.755,2.9576
kanzi/vmlinux,LinearRegression,2855.0258,137.5747,164.7224,3.5578,224.4876,4.9846
kanzi/vmlinux,RandomForest,350.5156,39.0286,34.5385,1.9645,72.1984,4.9262
lrzip/ambivert.wav.tar,GaussianProcess,157.2342,25.167,14.6066,1.2626,22.9103,3.2254
lrzip/ambivert.wav.tar,LinearRegression,153.3387,28.4784,14.6064,1.6493,23.6533,3.1824
lrzip/ambivert.wav.tar,RandomForest,160.1109,39.1831,15.0631,1.7049,24.6898,2.8393
lrzip/artificl.tar,GaussianProcess,1498.9909,246.5872,1.3647,0.0656,1.4313,0.0542
lrzip/artificl.tar,LinearRegression,1390.1373,281.7283,1.2606,0.0658,1.4127,0.0826
lrzip/artificl.tar,RandomForest,1373.136,294.6988,1.2559,0.056,1.402,0.0685
lrzip/deepfield.tar,GaussianProcess,155.3087,26.1105,14.3925,1.224,22.4473,3.2136
lrzip/deepfield.tar,LinearRegression,152.5294,29.3696,14.4018,1.6416,23.1178,3.0831
lrzip/deepfield.tar,RandomForest,157.6744,37.8862,14.7694,1.6736,24.0162,2.8489
lrzip/enwik8.tar,GaussianProcess,110.187,16.9481,19.9811,1.5403,28.4347,3.6912
lrzip/enwik8.tar,LinearRegression,106.046,18.344,19.6012,1.9237,29.0778,3.6445
lrzip/enwik8.tar,RandomForest,110.6667,23.7271,20.1975,2.0678,30.3691,3.3143
lrzip/fannie_mae_500k.tar,GaussianProcess,12.0227,0.8828,5.3033,0.5398,7.6843,0.9597
lrzip/fannie_mae_500k.tar,LinearRegression,12.1951,0.9525,5.392,0.5622,7.8788,0.9465
lrzip/fannie_mae_500k.tar,RandomForest,12.8686,1.1512,5.6519,0.5773,8.254,0.8469
lrzip/large.tar,GaussianProcess,107.4758,16.6225,2.3458,0.2866,3.1362,0.3347
lrzip/large.tar,LinearRegression,99.4014,16.5056,2.3446,0.2579,3.1273,0.3441
lrzip/large.tar,RandomForest,102.6906,18.5638,2.4573,0.2696,3.2824,0.3254
lrzip/misc.tar,GaussianProcess,294.7477,42.1157,1.3734,0.081,1.4735,0.0707
lrzip/misc.tar,LinearRegression,271.9307,48.2316,1.2811,0.0818,1.4572,0.0939
lrzip/misc.tar,RandomForest,271.7535,51.6943,1.279,0.0759,1.4606,0.0856
lrzip/silesia.tar,GaussianProcess,127.1424,19.9659,33.3642,2.4757,47.2736,5.8802
lrzip/silesia.tar,LinearRegression,122.576,21.8258,32.7797,3.0897,48.4442,5.8098
lrzip/silesia.tar,RandomForest,129.0927,27.9214,33.8994,3.3033,50.8006,5.2626
lrzip/uiq-32.bin,GaussianProcess,209.7913,38.552,56.2497,3.919,79.0866,9.4442
lrzip/uiq-32.bin,LinearRegression,200.933,39.6002,54.8937,4.9808,79.9721,9.1623
lrzip/uiq-32.bin,RandomForest,208.9807,49.0113,56.2512,5.3981,83.1827,8.7252
lrzip/uiq2-16.bin,GaussianProcess,185.6257,30.5482,30.4422,2.2258,43.4631,5.1053
lrzip/uiq2-16.bin,LinearRegression,178.3555,34.1643,29.9398,2.6624,44.7534,5.1774
lrzip/uiq2-16.bin,RandomForest,189.4525,43.0154,31.0647,2.7958,47.2853,4.5501
lrzip/uiq2-4.bin,GaussianProcess,126.509,19.8754,7.2483,0.651,10.7521,1.5126
lrzip/uiq2-4.bin,LinearRegression,122.2929,21.7404,7.2557,0.8112,11.0687,1.4798
lrzip/uiq2-4.bin,RandomForest,129.0245,27.7677,7.5768,0.7914,11.6225,1.3003
lrzip/uiq2-8.bin,GaussianProcess,151.5449,23.8377,15.1471,1.19,21.5754,2.8622
lrzip/uiq2-8.bin,LinearRegression,146.348,27.286,14.9564,1.4337,22.1931,2.8362
lrzip/uiq2-8.bin,RandomForest,153.0298,34.0853,15.4902,1.4887,23.3633,2.557
lrzip/vmlinux-5.10.tar,GaussianProcess,80.3709,11.0537,4.6929,0.4749,6.936,0.8873
lrzip/vmlinux-5.10.tar,LinearRegression,77.7931,12.0706,4.7417,0.5466,7.0906,0.8782
lrzip/vmlinux-5.10.tar,RandomForest,82.7464,14.4675,5.0041,0.5369,7.4322,0.8109
x264/Johnny_1280x720_60_short.y4m,LinearRegression,87.4888,5.6616,2.5628,0.0495,3.3512,0.087
x264/Johnny_1280x720_60_short.y4m,RandomForest,31.9662,1.4786,1.4373,0.0695,2.5185,0.1288
x264/Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,LinearRegression,77.2066,4.8631,8.7006,0.1763,11.272,0.2842
x264/Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,RandomForest,29.1342,1.304,4.8809,0.235,8.407,0.4241
x264/blue_sky_1080p25_short.y4m,LinearRegression,77.2945,4.877,3.1368,0.0621,4.0651,0.1039
x264/blue_sky_1080p25_short.y4m,RandomForest,29.2774,1.5679,1.7543,0.0915,3.0259,0.1448
x264/pedestrian_area_1080p25_short.y4m,LinearRegression,70.5497,4.3822,3.5652,0.0763,4.6333,0.1173
x264/pedestrian_area_1080p25_short.y4m,RandomForest,28.3195,1.4173,2.0514,0.1087,3.4994,0.1847
x264/riverbed_1080p25_short.y4m,LinearRegression,64.9658,3.8644,6.6639,0.159,8.8742,0.2647
x264/riverbed_1080p25_short.y4m,RandomForest,27.0267,1.3127,3.91,0.2141,6.7155,0.3713
x264/sd_bridge_close_cif_short.y4m,LinearRegression,51.2794,2.6566,0.1414,0.0029,0.1822,0.0046
x264/sd_bridge_close_cif_short.y4m,RandomForest,21.3628,0.9311,0.0808,0.0037,0.1326,0.0063
x264/sd_city_4cif_short.y4m,LinearRegression,81.7531,5.2977,1.478,0.0292,1.9085,0.0443
x264/sd_city_4cif_short.y4m,RandomForest,29.6547,1.5017,0.8146,0.0428,1.407,0.068
x264/sd_crew_cif_short.y4m,LinearRegression,61.4342,3.4164,0.2456,0.0054,0.3195,0.0083
x264/sd_crew_cif_short.y4m,RandomForest,25.0834,1.2825,0.1407,0.0077,0.2379,0.0129
x264/sintel_trailer_2k_720p24_short.y4m,LinearRegression,50.8237,2.4799,0.3694,0.0078,0.4664,0.011
x264/sintel_trailer_2k_720p24_short.y4m,RandomForest,23.4144,1.2537,0.2246,0.0125,0.3747,0.0197
xz/ambivert.wav.tar,LinearRegression,135.8499,6.8601,13.2,0.3643,17.1106,0.4802
xz/ambivert.wav.tar,RandomForest,15.1818,2.0289,1.9127,0.1731,3.9744,0.51
xz/artificl.tar,LinearRegression,28.6748,1.1157,0.0063,0.0001,0.0075,0.0001
xz/artificl.tar,RandomForest,29.5437,1.2231,0.0065,0.0002,0.0079,0.0001
xz/deepfield.tar,LinearRegression,61.8542,2.3544,5.6715,0.1307,7.8079,0.5149
xz/deepfield.tar,RandomForest,10.9111,0.8943,1.27,0.1105,2.7813,0.5247
xz/enwik8.tar,LinearRegression,199.2823,9.9962,71.4969,1.8096,94.6763,3.7413
xz/enwik8.tar,RandomForest,27.4817,3.1894,15.7126,1.2095,39.2265,4.3732
xz/fannie_mae_500k.tar,LinearRegression,91.1015,4.077,30.1234,0.615,36.1157,0.6926
xz/fannie_mae_500k.tar,RandomForest,11.526,0.8662,4.9174,0.3559,9.0924,0.82
xz/large.tar,LinearRegression,43.1094,1.8516,1.862,0.038,2.3015,0.0413
xz/large.tar,RandomForest,9.3586,0.6584,0.4021,0.0259,0.6629,0.0541
xz/misc.tar,LinearRegression,22.6198,0.5301,0.0873,0.0023,0.1168,0.0066
xz/misc.tar,RandomForest,7.0663,0.3237,0.0292,0.0018,0.0588,0.0068
xz/silesia.tar,LinearRegression,94.7531,4.4654,61.6971,1.4957,78.1575,2.2791
xz/silesia.tar,RandomForest,12.1662,1.278,9.4908,0.6727,18.9169,1.7749
xz/uiq-32.bin,LinearRegression,119.8584,5.2731,72.8011,1.8682,93.2288,3.1046
xz/uiq-32.bin,RandomForest,20.7774,2.2184,18.2337,1.4385,39.2682,3.567
xz/uiq2-16.bin,LinearRegression,107.7645,4.8336,32.1685,0.8998,42.7941,2.3322
xz/uiq2-16.bin,RandomForest,19.781,1.7691,8.4351,0.6496,19.6295,2.8916
xz/uiq2-4.bin,LinearRegression,61.5909,2.5079,4.3,0.1105,5.8814,0.3047
xz/uiq2-4.bin,RandomForest,12.0068,0.8219,1.0101,0.0879,2.1383,0.3201
xz/uiq2-8.bin,LinearRegression,81.9854,3.6507,11.9029,0.3317,16.3613,0.9631
xz/uiq2-8.bin,RandomForest,17.0423,1.3601,3.4856,0.2376,8.101,1.3154
xz/vmlinux-5.10.tar,LinearRegression,28.4536,0.9063,1.8637,0.0434,2.2649,0.0577
xz/vmlinux-5.10.tar,RandomForest,6.5348,0.4574,0.4403,0.0248,0.7568,0.0583
z3/AUFNIRA_z3.637557.smt2,LinearRegression,741.7905,43.1544,89.006,1.7993,100.8785,2.0793
z3/AUFNIRA_z3.637557.smt2,RandomForest,93.623,10.8044,19.3606,1.9921,31.0424,3.6541
z3/LRA_formula_277.smt2,LinearRegression,11.1703,0.3819,0.3162,0.0024,0.3218,0.0035
z3/LRA_formula_277.smt2,RandomForest,3.9222,0.4754,0.1001,0.0091,0.1333,0.0119
z3/QF_AUFBV_891_sqlite3.smt2,LinearRegression,520.5237,160.667,9.9892,0.3858,13.1904,0.9829
z3/QF_AUFBV_891_sqlite3.smt2,RandomForest,135.6058,52.9781,3.3847,0.3763,5.8696,0.9504
z3/QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,LinearRegression,13.029,0.4283,0.9636,0.0314,1.1835,0.0391
z3/QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,RandomForest,7.6602,0.6093,0.4912,0.0372,0.629,0.0519
z3/QF_BV_bench_3176.smt2,LinearRegression,985.8815,55.7826,131.8122,3.9235,151.2041,4.176
z3/QF_BV_bench_3176.smt2,RandomForest,172.2108,24.1752,27.7144,2.4551,43.3251,4.7933
z3/QF_BV_bench_935.smt2,LinearRegression,1664.54,99.4703,93.1548,1.2459,97.0162,1.2653
z3/QF_BV_bench_935.smt2,RandomForest,290.6346,32.3628,20.1506,1.5868,28.6271,2.4368
z3/QF_LIA_tightrhombus,LinearRegression,73.7647,10.6327,0.5832,0.0341,0.7965,0.0288
z3/QF_LIA_tightrhombus,RandomForest,31.36,5.9604,0.2615,0.0246,0.3674,0.0354
z3/QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,LinearRegression,5.343,0.1973,0.7322,0.0196,0.867,0.0188
z3/QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,RandomForest,3.1123,0.2939,0.3848,0.0275,0.4751,0.0381
z3/QF_NRA_hong_9.smt2,LinearRegression,0.2111,0.0119,0.0091,0.0005,0.0157,0.0019
z3/QF_NRA_hong_9.smt2,RandomForest,2.5461,0.1771,0.1046,0.0073,0.1283,0.0087
z3/QF_RDL_orb08_888.smt2,LinearRegression,2.8088,0.0901,0.2599,0.0082,0.3305,0.0086
z3/QF_RDL_orb08_888.smt2,RandomForest,2.5824,0.1824,0.2474,0.0164,0.3164,0.0201
z3/QF_UFLIA_xs_23_43.smt2,LinearRegression,35.9182,2.0816,8.0723,0.2368,9.8031,0.3229
z3/QF_UFLIA_xs_23_43.smt2,RandomForest,9.2888,0.6801,2.2322,0.1836,3.3621,0.3876
z3/QF_UF_PEQ018_size6.smt2,LinearRegression,933.4748,95.9242,164.3135,4.0156,206.9916,6.3133
z3/QF_UF_PEQ018_size6.smt2,RandomForest,101.0744,16.8442,34.3662,2.9424,58.9201,5.568
